Scenario,Year,ghg,lcspe,fed,esfe,co2elc,ccsfos,nonnrg
nec,2030,35.13409211766682,0.34432816730910043,405.46005362547055,0.15342117470853703,100.15222575410338,0.20261683517633544,11.735954118943006
nec,2040,26.595393680924676,0.5795741225072631,377.1045811533015,0.1626135110825399,2.490927422240026,1.1928436912614917,6.681997039634725
nec,2050,20.556038563862067,0.7437139521568269,374.4550364684308,0.2047107706704998,-5.547293869071896,2.196516075134833,3.2556633522355214
nec,2060,17.16932245243674,0.8214979170186057,374.45583854365583,0.23807863988809508,-7.195336379984636,2.1226235152349195,1.782600930650632
nec,2070,17.23308747611708,0.8257044020147689,389.38046430186404,0.2571838268393179,-6.540141942641111,2.3065704231825066,1.0146107599773841
nec,2080,17.28201301600051,0.8316579431765101,410.4182038017072,0.24969723200609625,-4.494761739389995,1.8378557347559412,-0.03322529738619872
nec,2090,16.250372293047356,0.8409637343968013,440.7521253565663,0.226813675916447,-3.6877070054694236,1.3349671704105242,-0.27509618715682965
nec,2100,12.30904969623856,0.8507317591175121,397.1326500656924,0.24741535896746533,-4.373043183800001,0.925118772184472,-1.3316963678557165
necfc,2020,52.19200604726861,0.18000000459121693,396.46445629276303,0.18720033164164404,508.8719974222328,0,17.01113969967723
necfc,2030,34.424810020851154,0.34432813210926033,405.69174889173223,0.15335485698816895,100.15221079223303,0.20482469132929176,10.596919992005091
necfc,2040,27.40591797688269,0.5795741297812618,377.31650001142066,0.16210873107724588,2.49093704774787,0.6782819295201818,7.196310030852988
necfc,2050,23.645404852336,0.7437139528532247,388.69881643488594,0.20252385797591624,-5.547289045559325,1.6451272110554653,5.078700045697478
necfc,2060,21.861610819461063,0.8214979179065437,396.01564889242286,0.23837971156155324,-7.1953263477415925,2.112627909756856,4.9470300490735415
necfc,2070,21.242459208733905,0.8257044059197747,404.01613624213104,0.2853996125970258,-6.540132840818621,1.4367478386319215,4.660920020029204
necfc,2080,21.663268820959097,0.8316579526961623,427.45806850543244,0.26725482500839365,-4.494737942900943,1.2208373921036533,3.60954003525414
necfc,2090,20.88529783046431,0.8409637472056988,457.1056868549181,0.2358812881567276,-3.6876666392351565,0.8315905343697253,3.158100096223143
necfc,2100,17.548058699479906,0.8507317925025021,422.6484859267128,0.24495454852597645,-4.372957603299604,0.7356144818172362,2.346300180134297
